figure_number,title,section,source_group,source_figure,packaged_files,source_data,packaged_data,status
1,Supplier-resource concentration matrix,Data and network construction,baseline,Results_Geo_V10\Baseline_5\Figures\Fig1_supplier_resource_heatmap.png,Results_Geo_V10\00_Manuscript\Main_Figures\F01_Supplier_resource_concentration_matrix.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F01_supplier_resource_matrix.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F01_Supplier_resource_concentration_matrix.csv,ready
2,Technology-resource intensity matrix,Data and network construction,baseline,Results_Geo_V10\Baseline_5\Figures\Fig2_technology_resource_heatmap.png,Results_Geo_V10\00_Manuscript\Main_Figures\F02_Technology_resource_intensity_matrix.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F02_technology_resource_matrix.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F02_Technology_resource_intensity_matrix.csv,ready
3,European transition-technology portfolios,Data and network construction,baseline,Results_Geo_V10\Baseline_5\Figures\Fig3_transition_portfolios.png,Results_Geo_V10\00_Manuscript\Main_Figures\F03_European_transition_technology_portfolios.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F03_transition_technology_portfolios.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F03_European_transition_technology_portfolios.csv,ready
4,Hidden upstream concentration at matched technology concentration,Hidden vulnerability,baseline,Results_Geo_V10\Baseline_5\Figures\Fig4_matched_hhi_hidden_concentration.png,Results_Geo_V10\00_Manuscript\Main_Figures\F04_Hidden_upstream_concentration_at_matched_technology_concentration.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F04_hidden_upstream_concentration.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F04_Hidden_upstream_concentration_at_matched_technology_concentration.csv,ready
5,Baseline structural vulnerability in the original sample,Hidden vulnerability,baseline,Results_Geo_V10\Baseline_5\Figures\Fig5_baseline_vulnerability.png,Results_Geo_V10\00_Manuscript\Main_Figures\F05_Baseline_structural_vulnerability_in_the_original_sample.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F05_baseline_structural_vulnerability.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F05_Baseline_structural_vulnerability_in_the_original_sample.csv,ready
6,Transition-capacity losses under geopolitical shocks,Counterfactual shocks,baseline,Results_Geo_V10\Baseline_5\Figures\Fig6_counterfactual_scenario_losses.png,Results_Geo_V10\00_Manuscript\Main_Figures\F06_Transition_capacity_losses_under_geopolitical_shocks.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F06_counterfactual_shock_losses.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F06_Transition_capacity_losses_under_geopolitical_shocks.csv,ready
7,Resource-channel contributions to transition vulnerability,Policy implications,baseline,Results_Geo_V10\Baseline_5\Figures\Fig7_resource_contribution.png,Results_Geo_V10\00_Manuscript\Main_Figures\F07_Resource_channel_contributions_to_transition_vulnerability.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F07_resource_channel_contribution.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F07_Resource_channel_contributions_to_transition_vulnerability.csv,ready
8,Resilience-priority ranking by critical resource,Policy implications,baseline,Results_Geo_V10\Baseline_5\Figures\Appendix_resilience_priority_ranking.png,Results_Geo_V10\00_Manuscript\Main_Figures\F08_Resilience_priority_ranking_by_critical_resource.png,Results_Geo_V10\00_Manuscript\Main_Figure_Data\baseline_5\F08_resilience_priority.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F08_Resilience_priority_ranking_by_critical_resource.csv,ready
9,HHI and spectral concentration in the original and extended samples,Metric validation,reviewer,Results_Geo_V10\Figures\FigR1_HHI_vs_spectral_concentration.pdf,Results_Geo_V10\00_Manuscript\Main_Figures\F09_HHI_and_spectral_concentration_in_the_original_and_extended_samples.png|Results_Geo_V10\00_Manuscript\Main_Figures\F09_HHI_and_spectral_concentration_in_the_original_and_extended_samples.pdf,Results_Geo_V10\Figure_Data\FigR1_R2_metric_comparison.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F09_HHI_and_spectral_concentration_in_the_original_and_extended_samples.csv,ready
10,Predictive comparison of conventional and network metrics,Metric validation,reviewer,Results_Geo_V10\Figures\FigR2_metric_predictive_comparison.pdf,Results_Geo_V10\00_Manuscript\Main_Figures\F10_Predictive_comparison_of_conventional_and_network_metrics.png|Results_Geo_V10\00_Manuscript\Main_Figures\F10_Predictive_comparison_of_conventional_and_network_metrics.pdf,Results_Geo_V10\Figure_Data\FigR1_R2_metric_comparison.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F10_Predictive_comparison_of_conventional_and_network_metrics.csv,ready
11,Shock-intensity sensitivity in the extended Nordic sample,Robustness,reviewer,Results_Geo_V10\Figures\FigR4_shock_intensity_sensitivity.pdf,Results_Geo_V10\00_Manuscript\Main_Figures\F11_Shock_intensity_sensitivity_in_the_extended_Nordic_sample.png|Results_Geo_V10\00_Manuscript\Main_Figures\F11_Shock_intensity_sensitivity_in_the_extended_Nordic_sample.pdf,Results_Geo_V10\Figure_Data\FigR4_shock_intensity_sensitivity.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F11_Shock_intensity_sensitivity_in_the_extended_Nordic_sample.csv,ready
12,Baseline vulnerability in the extended Nordic sample,Robustness,reviewer,Results_Geo_V10\Figures\FigR5_extended_sample_baseline_vulnerability.pdf,Results_Geo_V10\00_Manuscript\Main_Figures\F12_Baseline_vulnerability_in_the_extended_Nordic_sample.png|Results_Geo_V10\00_Manuscript\Main_Figures\F12_Baseline_vulnerability_in_the_extended_Nordic_sample.pdf,Results_Geo_V10\Figure_Data\FigR5_extended_sample_vulnerability.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F12_Baseline_vulnerability_in_the_extended_Nordic_sample.csv,ready
13,Cross-metric vulnerability rankings in the extended sample,Robustness,reviewer,Results_Geo_V10\Figures\FigR3_cross_metric_country_rankings.pdf,Results_Geo_V10\00_Manuscript\Main_Figures\F13_Cross_metric_vulnerability_rankings_in_the_extended_sample.png|Results_Geo_V10\00_Manuscript\Main_Figures\F13_Cross_metric_vulnerability_rankings_in_the_extended_sample.pdf,Results_Geo_V10\Figure_Data\FigR3_country_rankings.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F13_Cross_metric_vulnerability_rankings_in_the_extended_sample.csv,ready
14,Leave-one-resource-out robustness,Robustness,reviewer,Results_Geo_V10\Figures\FigR6_leave_one_resource_out_robustness.pdf,Results_Geo_V10\00_Manuscript\Main_Figures\F14_Leave_one_resource_out_robustness.png|Results_Geo_V10\00_Manuscript\Main_Figures\F14_Leave_one_resource_out_robustness.pdf,Results_Geo_V10\Figure_Data\FigR6_resource_robustness.csv,Results_Geo_V10\00_Manuscript\Main_Figure_Data\F14_Leave_one_resource_out_robustness.csv,ready
